cluster_id,time_min,gap_from_previous_min,smoothed_count,outlier_rows_in_cluster_window,outlier_axis_events_in_cluster_window,axis_events_within_4_bytes_of_512_boundary,axis_events_within_4_bytes_of_1536_boundary,axis_events_within_64_bytes_of_48128_write_boundary,center_sample,file_byte_offset,fifo_payload_number,fifo_sample_position,estimated_filex_write_number,sd_sector_512_mod,sd_sector_512_nearest_boundary_distance,iis3dwb_payload_1536_mod,iis3dwb_payload_1536_nearest_boundary_distance,estimated_filex_write_48128_mod,estimated_filex_write_48128_nearest_boundary_distance,fat_cluster_32768_mod,fat_cluster_32768_nearest_boundary_distance,fat_cluster_65536_mod,fat_cluster_65536_nearest_boundary_distance,fat_cluster_131072_mod,fat_cluster_131072_nearest_boundary_distance
39,33.575000,1.066667,135.000,135,146,3,2,1,53717903,322307422,209835,143,6696,350,162,862,674,42334,5794,1374,1374,1374,1374,1374,1374
40,35.125000,1.550000,151.000,151,162,7,2,5,56200199,337201198,219532,7,7006,46,46,46,46,16430,16430,18478,14290,18478,18478,84014,47058
41,37.325000,2.200000,143.000,143,154,5,5,1,59720836,358325020,233284,132,7445,284,228,796,740,12060,12060,6940,6940,39708,25828,105244,25828
42,39.475000,2.150000,148.000,148,159,2,2,1,63160895,378965374,246722,63,7874,382,130,382,382,5502,5502,3454,3454,36222,29314,36222,36222
43,41.575000,2.100000,144.000,144,153,7,2,3,66522310,399133864,259852,198,8293,168,168,1192,344,8360,8360,19624,13144,19624,19624,19624,19624
44,43.675000,2.100000,150.000,150,161,7,0,4,69880916,419285500,272972,84,8711,508,4,508,508,42492,5636,18940,13828,51708,13828,117244,13828
45,45.775000,2.100000,148.000,148,157,4,0,1,73239879,439439278,286093,71,9130,430,82,430,430,30638,17490,20398,12370,20398,20398,85934,45138
46,47.925000,2.150000,145.000,145,154,5,0,1,76681479,460088878,299537,7,9559,46,46,46,46,33326,14802,26158,6610,26158,26158,26158,26158
47,50.125000,2.200000,147.000,147,163,5,3,2,80200362,481202176,313282,170,9998,0,0,1024,512,18432,18432,4096,4096,36864,28672,36864,36864
48,51.291667,1.166667,165.000,165,182,6,3,1,82047413,492284482,320497,181,10228,66,66,1090,446,31298,16830,10818,10818,43586,21950,109122,21950
